"PerformanceID","EmployeeID","ReviewDate","EnvironmentSatisfaction","JobSatisfaction","RelationshipSatisfaction","TrainingOpportunitiesWithinYear","TrainingOpportunitiesTaken","WorkLifeBalance","SelfRating","ManagerRating","DataQualityStatus"
"PR01","79F7-78EC","1/2/2013","5","4","5","1","0","4","4","4","Valid"
"PR02","B61E-0F26","1/3/2013","5","4","4","1","1","4","4","3","Valid"
"PR03","F5E3-48BB","1/3/2013","3","4","5","3","2","3","5","4","Valid"
"PR04","0678-748A","1/4/2013","5","3","2","2","0","2","3","2","Valid"
"PR05","541F-3E19","1/4/2013","5","2","3","1","0","4","4","3","Valid"
"PR06","F93E-BDEF","1/4/2013","3","3","2","2","0","4","4","4","Valid"
"PR07","9E7A-1F70","1/8/2013","3","4","5","2","1","5","4","3","Valid"
"PR08","05ED-92F1","1/10/2013","4","5","4","1","1","3","3","2","Valid"
"PR09","F72D-261D","1/10/2013","4","5","2","1","1","4","5","4","Valid"
"PR10","774E-685D","1/11/2013","5","4","3","2","2","4","5","4","Valid"
"PR100","B013-7D0C","4/10/2013","4","3","3","2","0","4","3","3","Valid"
"PR1000","528C-3E0D","3/16/2016","4","4","2","2","2","4","5","5","Valid"
"PR1001","D077-169C","3/17/2016","3","5","3","2","2","3","5","5","Valid"
"PR1002","9727-BC84","3/18/2016","4","3","3","2","2","2","4","3","Valid"
"PR1003","DA8E-9496","3/18/2016","3","5","4","1","0","5","5","5","Valid"
"PR1004","DEC5-9319","3/18/2016","3","4","3","2","2","2","4","4","Valid"
"PR1005","88B8-EB84","3/19/2016","3","4","2","3","1","4","5","5","Valid"
"PR1006","9C57-828C","3/19/2016","5","4","2","1","1","2","3","3","Valid"
"PR1007","E1B4-9AA1","3/22/2016","5","4","3","3","2","3","4","3","Valid"
"PR1008","3CD6-5587","3/23/2016","5","4","2","2","0","4","4","3","Valid"
"PR1009","BAFA-86DF","3/23/2016","3","3","4","2","1","2","3","3","Valid"
"PR101","152E-8DB1","4/12/2013","5","2","5","1","0","5","5","4","Valid"
"PR1010","C6D7-A568","3/23/2016","4","2","3","3","0","2","4","4","Valid"
"PR1011","5160-53BD","3/24/2016","4","2","5","1","1","2","5","5","Valid"
"PR1012","81FF-8D6C","3/24/2016","3","4","3","2","0","4","5","4","Valid"
"PR1013","84E7-02D4","3/25/2016","3","5","3","1","1","4","3","3","Valid"
"PR1014","6010-A052","3/25/2016","3","3","3","2","1","5","5","5","Valid"
"PR1015","6176-3BEE","3/27/2016","5","3","2","2","0","5","5","4","Valid"
"PR1016","47A0-559B","3/27/2016","3","5","3","3","0","2","3","3","Valid"
"PR1017","A954-6310","3/27/2016","4","3","4","2","1","5","4","3","Valid"
"PR1018","C525-8BB9","3/27/2016","3","4","4","1","1","3","4","3","Valid"
"PR1019","9AAB-DCD0","3/28/2016","4","4","2","2","1","5","5","4","Valid"
